----------Test start!----------		0:0:0.00
Double Click		0:0:7.41
Double Click		0:0:12.31
Double Click		0:0:20.97
Double Click		0:0:24.13
Double Click		0:0:49.56
Right Click		0:0:55.64
Left Click		0:0:58.71
Left Click		0:1:6.57
Back		0:1:12.23
Back		0:1:19.02
Right Click		0:1:21.29
Left Click		0:1:28.73
Right Click		0:1:34.43
Left Click		0:1:37.35
---------- Test end! ----------		0:1:37.63
